frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,,,,,,,,,,,,,,,,,,,,
8,SCSR,3/15/16,NA,22,12,UNMARKED,5,,UNMARKED,R,,AB,1,GWG,R,, -RYB,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,W/T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,3/16/16,NA,23,22,GBR,9,,GBR,UP,,L,3,GWY,R,, -UNMARKED,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,UP,,L,,GYG,R,, -GWBl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H/AN,,UNMARKED,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,3/17/16,12:45 PM,24,67,RYBl,5,,RYBl,G,TP-UP/WEB,AN,5,RYB,R,, -GBY,,WEB,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,WEB,L,,GWG,G,, -RYBl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,L/H,,UNMARKED,G,, +RYBl,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBW,DOWN,,T,,GWY,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,L,,GWB,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SCSR,3/18/16,10:55 AM,25,109,RYBl,4,,RYBl,R,TP-R,AN,4,RYB,R,, -UNMARKED,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,GYG,R,, -RYBl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,UNMARKED,R,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,L,,UNMARKED,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
