frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,RY,G,,H,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GWG,,,AB,,,,,,,,,,,,,,
,,2/23/16,10:40 am,14,110,RWG,1,0,RWG,G,,W,3,RW,G,, -RWG,,WEB,,,,,,,
,,,,,,,,,,,,,,GWR,G,, +RWG,,W,,,,,,,
,,,,,,,,,,,,,,RWBl,R,,,,,,,,,,,
,,2/25/16,3:40 pm,15,35,GY,4,0,GY,G,,W,5,GYR,G,,,,,,,,,,,
,,,,,,,,,GWBl,R,,W/T,,GW,R,,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,GB,G,,,,,,,,,,,
,,,,,,,,,RW,R,,H,,GYB,G,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,R,,,,,,,,,,,
,,3/3/16,2:18 pm,16,12,RR,12,0,RR,R,,H,3,RWB,G,,,,,,,,,,,
,,,,,,,,,GBW,G,,W,,GY,G,,,,,,,,,,,
,,,,,,,,,GBW,R,,L,,RWBl,G,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GYB,R,,AB,,,,,,,,,,,,,,
,,3/8/16,12:40 pm,17,80,UNMARKED,8,0,UNMARKED,R,TP-R,W/H,4,GBl,R,, -RWG,,WEB,,R,,,,1,
,,,,,,,,,UNMARKED,G,,W/T,,RR,R,, -UNMARKED,,,,,,,,,
,,,,,,,,,RG,R,,L/H,,GB,R,, -GWBl,,,,,,,,,
,,,,,,,,,RWG,G,,L,,RBl,R,, -RR,,WEB,,,,,,,
,,,,,,,,,GWBl,G,,L,,,,, +UNMARKED,,,AB,,,,,,
,,,,,,,,,RR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,
,,3/9/16,2:40 pm,18,12,RBl,10,0,RBl,R,,L/H,5,UNMARKED,R,, -GYR,,WEB,,,,,,,
,,,,,,,,,GYB,UP,,H,,GBW,R,, -GG ,,,,,,,,,
,,,,,,,,,GBl,UP,,W,,RG,G,, -RBl,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,W/L,,RR,G,, -UNMARKED,,,,,,,,,
,,,,,,,,,GG,G,,L,,GWR,G,, -GYB,,,,,,,,,
,,,,,,,,,GYR,G,,H,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,AB,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GBG,,,H,,,,,,,,,,,,,,
,,3/10/16,11:45 am,19,10,UNMARKED,16,0,UNMARKED,G,,H,7,GBl,R,,,,,,,,,,,
,,,,,,,,,RR,UP,,L,,RYB,DOWN,,,,,,,,,,,
,,,,,,,,,RG,UP,,L,,GBW,DOWN,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,,,GBl,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,,,RWBl,G,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,,,GBG,R,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,GYB,R,,,,,,,,,,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RBl,UP,,H,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RYW,UP,,W,,,,,,,,,,,,,,
,,,,,,,,,GB,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYB,,,AN,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWG,,,L,,,,,,,,,,,,,,
,,3/12/16,2:10 pm,20,3,RR,10,0,RR,G,,AN,3,GWBl,R,, -RR,,,,,,,,,
,,,,,,,,,GWR,G,,H,,GYB,R,, +RR,,,AB,,,,,,
,,,,,,,,,RG,G,,AB,,UNMARKED,R,, -RBl,,,,,,,,,
,,,,,,,,,RBl,G,,AB,,,,, +RBl,,TP-G,W,,,,,,
,,,,,,,,,RWBl,G,,W,,,,,,,,,,,,,,
,,,,,,,,,GWB,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,W,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,T,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,H,,,,,,,,,,,,,,
,,3/13/16,1:30 pm,21,22,RG,11,0,RG,R,,AN,3,UNMARKED,G,, -UNMARKED,,,,,,,,,
,,,,,,,,,GYR,UP,,L,,GWB,G,, -UNMARKED,,,,,,,,,
,,,,,,,,,GYB,G,,W,,RYB,R,, +UNMARKED,L,,,,,,,,
,,,,,,,,,GB,G,,AB,,,,, -GWR,,,H,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,, +GWR,,,,,,,,,
,,,,,,,,,UNMARKED,,,L,,,,,,,,,,,,,,
,,,,,,,,,RY,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,GWR,UP,,W,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYW,UP,,L,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,,,,,,,,,,,
,,3/15/16,2:15 pm,22,21,UNMARKED,12,0,UNMARKED,R,,AN,5,GW,R,, -RY,,,,,,,,,
